Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",0402,2,10n 50V,C15195
"C10, C19",0402,2,20p 50V,C1554
"C15, C16",0805,2,22u 25V,C45783
"C17, C18, C7, C8",0402,4,1u 25V,C52923
"C2, C3, C4, C5, C9",0402,5,100n 16V,C1525
D1,0603,1,LED green,C72043
D2,0603,1,LED yellow,C72038
D3,0603,1,LED red,C2286
D4,0603,1,LED blue,C72041
D8,0603,1,PWR LED (grn),C72043
D9,D_SOD-323,1,1N5819WS,C191023
J3,SHOU HAN TYPE-C 16PIN 2MD(073),1,TYPE-C-31-M-12,C2765186
L1,0805,1,600Ω@100MHz,C1017
"R1, R11",0402,2,200,C25087
"R2, R3",0402,2,330,C25104
R4,0402,1,150,C25082
R5,0402,1,10k,C25744
"R6, R7",0402,2,5k1,C25905
R8,0402,1,1k5,C25867
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,C8734
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SST26VF016BEUI-104I/SN,DNP
U4,SOT-23,1,XC6206P332MR,C5446
U5,SOT-223-3_TabPin2,1,AMS1117-5.0,C6187
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322516MLB4SI,C13738
