Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",0402,2,10n 50V,C15195
"C10, C19",0402,2,20p 50V,C1554
"C15, C16",0805,2,22u 25V,C45783
"C17, C18, C7, C8",0402,4,1u 25V,C52923
"C2, C3, C4, C5, C9",0402,5,100n 16V,C1525
D1,0603,1,LED green,C72043
D2,0603,1,LED yellow,C72038
D3,0603,1,LED red,C2286
D4,0603,1,LED blue,C72041
D8,0603,1,LED red (PWR),C2286
D9,D_SOD-323,1,1N5819WS,C191023
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
L1,0805,1,600Ω@100MHz,C1017
"R1, R2, R3",0402,3,300,C25102
"R11, R4",0402,2,75,C25133
R5,0402,1,10k,C25744
"R6, R7",0402,2,5k1,C25905
R8,0402,1,1k5,C25867
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,C8734
U4,SOT-23-3,1,XC6206P332MR,C5446
U5,SOT-223-3_TabPin2,1,AMS1117-5.0,DNP
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322516MLB4SI,C13738
